timestamp,EMGA_counter,EMGB_counter,Heart_Rate,actividad,paso_actividad,HRI_strategy,GT,tiempo,UserID
1753885678.8298209,3,2,61,1,2,1,1,32.15144634246826,1
1753885679.14288,3,2,61,1,2,1,1,32.44966506958008,1
1753885679.4576826,3,2,61,1,2,1,1,32.764535665512085,1
1753885679.7677498,3,2,60,1,2,1,1,33.06029510498047,1
1753885680.080269,3,2,60,1,2,1,1,33.37227535247803,1
1753885680.3951945,3,2,60,1,2,1,1,33.68574547767639,1
1753885680.7068987,3,2,60,1,2,1,1,33.983619689941406,1
1753885681.0212693,3,2,60,1,2,1,1,34.296558141708374,1
1753885681.334166,3,2,60,1,2,1,1,34.61057448387146,1
1753885681.6472902,3,2,60,1,2,1,1,34.92332315444946,1
1753885681.959339,3,2,60,1,2,1,1,35.23584723472595,1
1753885682.271862,3,2,60,1,2,1,1,35.54788947105408,1
1753885682.5676217,3,2,60,1,2,1,1,35.860769510269165,1
1753885682.8804727,3,2,59,1,2,1,1,36.17223000526428,1
1753885683.1919243,3,2,59,1,2,1,1,36.48468995094299,1
1753885683.5062068,3,2,59,1,2,1,1,36.797619581222534,1
1753885683.8171659,3,2,59,1,2,1,1,37.10892987251282,1
1753885684.130325,3,2,59,1,2,1,1,37.4220507144928,1
1753885684.4434354,3,2,59,1,2,1,1,37.735552072525024,1
1753885684.7553942,3,2,59,1,2,1,1,38.04703140258789,1
1753885685.0672965,3,2,59,1,2,1,1,38.36020612716675,1
1753885685.3784404,3,2,59,1,2,1,1,38.671449184417725,1
1753885685.6897597,3,2,59,1,2,1,1,38.98202657699585,1
1753885686.0036373,3,2,59,1,2,1,1,39.295812368392944,1
1753885686.3188078,3,2,59,1,2,1,1,39.60889649391174,1
1753885686.6310887,3,2,59,1,2,1,1,39.9235520362854,1
1753885686.9435833,3,2,59,1,2,1,1,40.23620128631592,1
1753885687.2579663,3,2,59,1,2,1,1,40.54844045639038,1
1753885687.572677,3,2,59,1,2,1,1,40.862996339797974,1
1753885687.886098,3,2,59,1,2,1,1,41.177868604660034,1
1753885688.1982505,3,2,59,1,2,1,1,41.49122762680054,1
1753885688.5116866,3,2,59,1,3,1,1,41.78784728050232,1
1753885688.8248546,3,2,58,1,3,1,1,42.098217725753784,1
1753885689.1365106,3,2,58,1,3,1,1,42.41291570663452,1
1753885689.4482138,3,2,58,1,3,1,1,42.725348472595215,1
1753885689.75977,3,2,58,1,3,1,1,43.020079135894775,1
1753885690.072576,3,2,58,1,3,1,1,43.33432579040527,1
1753885690.3848963,3,2,58,1,3,1,1,43.64577507972717,1
1753885690.696815,3,2,58,1,3,1,1,43.95779871940613,1
1753885691.0088942,3,2,58,1,3,1,1,44.2702956199646,1
1753885691.3214383,3,2,58,1,3,1,1,44.5814163684845,1
1753885691.617936,3,2,58,1,3,1,1,44.894895792007446,1
1753885691.9319232,3,2,58,1,3,1,1,45.20777130126953,1
1753885692.2452912,3,2,58,1,3,1,1,45.521764278411865,1
1753885692.5435677,3,2,59,1,3,1,1,45.835028409957886,1
1753885692.8560379,3,2,59,1,3,1,1,46.14730668067932,1
1753885693.169353,3,2,59,1,3,1,1,46.461289405822754,1
1753885693.4668732,3,2,59,1,3,1,1,46.775256395339966,1
1753885693.794383,3,2,59,1,3,1,1,47.10138297080994,1
1753885694.105667,3,2,59,1,3,1,1,47.413103103637695,1
1753885694.4167686,3,2,59,1,3,1,1,47.725879430770874,1
1753885694.7308228,3,2,59,1,3,1,1,48.022005796432495,1
1753885695.0447114,3,2,59,1,3,1,1,48.33575773239136,1
1753885695.3420365,3,2,59,1,3,1,1,48.65053415298462,1
1753885695.656014,3,2,58,1,3,1,1,48.9623601436615,1
1753885695.968142,3,2,58,1,3,1,1,49.27501606941223,1
1753885696.2648928,3,2,58,1,3,1,1,49.604000091552734,1
1753885696.5912268,3,2,57,1,3,1,1,49.91393685340881,1
1753885696.9028654,3,2,57,1,3,1,1,50.226245641708374,1
1753885697.2154148,3,2,57,1,3,1,1,50.53857445716858,1
1753885697.5127647,3,2,57,1,3,1,1,50.852609157562256,1
1753885697.8249815,3,2,57,1,3,1,1,51.163607358932495,1
1753885698.1365566,3,2,57,1,3,1,1,51.475998878479004,1
1753885698.448733,3,2,57,1,3,1,1,51.77155351638794,1
1753885698.762226,3,2,57,1,3,1,1,52.069499254226685,1
1753885699.075445,3,2,57,1,3,1,1,52.383065700531006,1
1753885699.3865654,3,2,57,1,3,1,1,52.694721698760986,1
1753885699.6999764,3,2,58,1,4,1,1,53.05271339416504,1
1753885699.998835,3,2,58,1,4,1,1,53.30627799034119,1
1753885700.325624,3,2,58,1,4,1,1,53.61746025085449,1
1753885700.6404421,3,2,58,1,4,1,1,53.91528010368347,1
1753885700.9543083,3,2,58,1,4,1,1,54.23038935661316,1
1753885701.2661889,3,2,58,1,4,1,1,54.543256759643555,1
1753885701.5795093,3,2,58,1,4,1,1,54.855294704437256,1
1753885701.8933427,3,2,58,1,4,1,1,55.16909837722778,1
1753885702.2066374,3,2,58,1,4,1,1,55.481470584869385,1
1753885702.5200632,3,2,58,1,4,1,1,55.79475808143616,1
1753885702.8323205,3,2,58,1,4,1,1,56.10889029502869,1
1753885703.1448948,3,2,58,1,4,1,1,56.42028045654297,1
1753885703.458728,3,2,58,1,4,1,1,56.73464322090149,1
1753885703.7721102,3,2,57,1,4,1,1,57.03218650817871,1
1753885704.0841331,3,2,57,1,4,1,1,57.345484256744385,1
1753885704.3830953,3,2,57,1,4,1,1,57.6571729183197,1
1753885704.6950743,3,2,57,1,4,1,1,57.9714937210083,1
1753885705.0082338,3,2,57,1,4,1,1,58.28486633300781,1
1753885705.3207688,3,2,57,1,4,1,1,58.59684467315674,1
1753885705.6323526,3,2,57,1,4,1,1,58.910315990448,1
1753885705.9460855,3,2,57,1,4,1,1,59.22125244140625,1
1753885706.2589197,3,2,57,1,4,1,1,59.534507513046265,1
1753885706.554003,3,2,56,1,4,1,1,59.97892737388611,1
1753885706.8672402,3,2,56,1,4,1,1,60.15902614593506,1
1753885707.177532,3,2,56,1,4,1,1,60.47129988670349,1
1753885707.474709,3,2,56,1,4,1,1,60.78156280517578,1
1753885707.7876647,3,2,56,1,4,1,1,61.094939947128296,1
1753885708.1002564,3,2,56,1,4,1,1,61.407949447631836,1
1753885708.4129355,3,2,56,1,4,1,1,61.71963715553284,1
1753885708.7258859,3,2,55,1,4,1,1,62.033398151397705,1
1753885709.0402775,3,2,55,1,4,1,1,62.345876693725586,1
1753885709.3552732,3,2,55,1,4,1,1,62.66163468360901,1
1753885709.6536682,3,3,55,1,4,1,1,62.97640562057495,1
1753885709.9501288,3,3,55,1,4,1,1,63.29003620147705,1
1753885710.262591,3,3,55,1,4,1,1,63.617520809173584,1
1753885710.5629306,3,3,56,1,4,1,1,63.90028190612793,1
1753885710.8737779,3,3,56,1,4,1,1,64.21389150619507,1
1753885711.185482,3,3,56,1,4,1,1,64.52446675300598,1
1753885711.4944482,3,3,56,1,4,1,1,64.83719658851624,1
1753885711.8100255,3,3,56,1,4,1,1,65.16417336463928,1
1753885712.1204443,3,3,56,1,4,1,1,65.47551989555359,1
1753885712.4352415,3,3,56,1,4,1,1,65.78832221031189,1
1753885712.729865,3,3,56,1,5,1,1,66.1520266532898,1
1753885713.0433567,3,3,56,1,5,1,1,66.39865946769714,1
1753885713.3567708,3,3,56,1,5,1,1,66.71125149726868,1
1753885713.654709,3,3,56,1,5,1,1,67.02270412445068,1
1753885713.969922,3,3,56,1,5,1,1,67.32138442993164,1
1753885714.2810962,3,3,56,1,5,1,1,67.63583612442017,1
1753885714.5946002,3,3,56,1,5,1,1,67.94796824455261,1
1753885714.9097786,3,3,56,1,5,1,1,68.26339721679688,1
1753885715.222859,3,3,56,1,5,1,1,68.57635283470154,1
1753885715.534983,3,3,56,1,5,1,1,68.88982105255127,1
1753885715.8482285,3,3,57,1,5,1,1,69.20241379737854,1
1753885716.1594498,3,3,57,1,5,1,1,69.51411390304565,1
1753885716.4748678,3,3,56,1,5,1,1,69.82811999320984,1
1753885716.7872581,3,3,56,1,5,1,1,70.14080095291138,1
1753885717.0995154,3,3,56,1,5,1,1,70.45431900024414,1
1753885717.4113426,3,3,56,1,5,1,1,70.76582384109497,1
1753885717.7223911,3,3,56,1,5,1,1,71.07829928398132,1
1753885718.037391,3,3,56,1,5,1,1,71.39062213897705,1
1753885718.348717,3,3,56,1,5,1,1,71.70398259162903,1
