timestamp,EMGA_counter,EMGB_counter,Heart_Rate,actividad,paso_actividad,HRI_strategy,GT,tiempo,UserID
1753885819.275063,0,0,0,1,1,2,1,0.14159774780273438,2
1753885819.564905,0,0,60,1,1,2,1,0.45057153701782227,2
1753885819.8732092,0,0,60,1,1,2,1,0.7416460514068604,2
1753885820.1960156,0,0,60,1,1,2,1,1.0338499546051025,2
1753885820.503506,0,0,60,1,1,2,1,1.340444564819336,2
1753885820.8094497,0,0,60,1,1,2,1,1.6455960273742676,2
1753885821.1157663,0,0,60,1,1,2,1,1.9534385204315186,2
1753885821.4260728,0,0,60,1,1,2,1,2.261733293533325,2
1753885821.74651,0,0,60,1,1,2,1,2.5689635276794434,2
1753885822.0383255,0,0,60,1,1,2,1,2.8748981952667236,2
1753885822.3424535,0,0,60,1,1,2,1,3.196218967437744,2
1753885822.6673844,0,0,59,1,1,2,1,3.4876677989959717,2
1753885822.9558496,0,0,59,1,1,2,1,3.8105621337890625,2
1753885823.277546,0,0,59,1,1,2,1,4.115565299987793,2
1753885823.5686395,0,0,59,1,1,2,1,4.421698331832886,2
1753885823.8756413,0,0,58,1,1,2,1,4.74489688873291,2
1753885824.1991343,0,0,58,1,1,2,1,5.036295413970947,2
1753885824.4895768,0,0,58,1,1,2,1,5.343621253967285,2
1753885824.7954414,0,0,58,1,1,2,1,5.647918939590454,2
1753885825.1024766,0,0,58,1,1,2,1,5.939375877380371,2
1753885825.4073818,0,0,58,1,2,2,1,6.257610559463501,2
1753885825.7290423,0,0,58,1,2,2,1,6.567473649978638,2
1753885826.020151,0,0,58,1,2,2,1,6.874629974365234,2
1753885826.3270948,0,0,58,1,2,2,1,7.1955485343933105,2
1753885826.6315138,0,0,59,1,2,2,1,7.500179052352905,2
1753885826.939181,0,0,59,1,2,2,1,7.808248043060303,2
1753885827.2598438,0,0,59,1,2,2,1,8.114196538925171,2
1753885827.5636756,0,0,59,1,2,2,1,8.434672355651855,2
1753885827.8729844,0,0,59,1,2,2,1,8.756757736206055,2
1753885828.195297,0,0,59,1,2,2,1,9.049809694290161,2
1753885828.494592,0,0,60,1,2,2,1,9.355834245681763,2
1753885828.8017325,0,0,60,1,3,2,1,9.767760753631592,2
1753885829.1091938,0,0,60,1,3,2,1,9.961199760437012,2
1753885829.4181619,0,0,60,1,3,2,1,10.271422147750854,2
1753885829.7241654,0,0,61,1,3,2,1,10.576557874679565,2
1753885830.0448813,0,0,61,1,3,2,1,10.8849937915802,2
1753885830.3659894,0,1,61,1,3,2,1,11.188315868377686,2
1753885830.6713367,0,1,62,1,3,2,1,11.505347967147827,2
1753885830.9789584,0,1,62,1,3,2,1,11.79926061630249,2
1753885831.288084,0,1,62,1,3,2,1,12.122540712356567,2
1753885831.5921032,0,1,62,1,3,2,1,12.44469952583313,2
1753885831.9132874,0,1,63,1,3,2,1,12.752705812454224,2
1753885832.2198296,0,1,63,1,3,2,1,13.072122812271118,2
1753885832.5435684,0,1,64,1,3,2,1,13.37869119644165,2
1753885832.8351312,0,1,64,1,3,2,1,13.703525066375732,2
1753885833.1549418,0,1,64,1,3,2,1,14.025230884552002,2
1753885833.4611742,0,1,64,1,3,2,1,14.328470945358276,2
1753885833.769982,0,1,65,1,3,2,1,14.638120174407959,2
1753885834.0746102,0,1,65,1,3,2,1,14.960028648376465,2
1753885834.3797967,0,1,65,1,3,2,1,15.250771760940552,2
1753885834.6883323,0,1,65,1,4,2,1,15.573343992233276,2
1753885834.9943347,0,1,65,1,4,2,1,15.878175020217896,2
1753885835.301478,0,1,65,1,4,2,1,16.18751358985901,2
1753885835.6205187,0,1,64,1,4,2,1,16.50710892677307,2
1753885835.9107306,0,1,64,1,4,2,1,16.811715126037598,2
1753885836.232323,0,1,64,1,4,2,1,17.11911368370056,2
1753885836.540644,0,1,63,1,4,2,1,17.40967583656311,2
1753885836.8456826,0,1,63,1,4,2,1,17.717142581939697,2
1753885837.1531734,0,1,63,1,4,2,1,18.02264952659607,2
1753885837.4420555,0,1,63,1,4,2,1,18.327646732330322,2
1753885837.7631023,0,1,63,1,4,2,1,18.649115324020386,2
1753885838.0571477,0,1,63,1,4,2,1,18.940879583358765,2
1753885838.362783,0,1,63,1,5,2,1,19.25535249710083,2
1753885838.6839905,0,1,62,1,5,2,1,19.554111003875732,2
1753885838.9735982,0,1,62,1,5,2,1,19.85904026031494,2
1753885839.2939672,0,1,62,1,5,2,1,20.166148900985718,2
1753885839.6011562,0,1,61,1,5,2,1,20.470219612121582,2
