timestamp,elapsed_time,HR,carga_cognitiva,ID_usuario
2025-05-20T12:19:12,0.53,63,0,2
2025-05-20T12:19:13,1.55,62,0,2
2025-05-20T12:19:14,2.58,62,0,2
2025-05-20T12:19:15,3.53,62,0,2
2025-05-20T12:19:16,4.55,62,0,2
2025-05-20T12:19:17,5.52,62,0,2
2025-05-20T12:19:18,6.53,62,0,2
2025-05-20T12:19:20,7.67,62,0,2
2025-05-20T12:19:20,8.52,62,0,2
2025-05-20T12:19:22,9.72,62,0,2
2025-05-20T12:19:24,0.02,62,2,2
2025-05-20T12:19:24,0.02,62,2,2
2025-05-20T12:19:25,0.81,62,2,2
2025-05-20T12:19:25,1.72,62,2,2
2025-05-20T12:19:26,2.73,63,2,2
2025-05-20T12:19:27,3.69,62,2,2
2025-05-20T12:19:28,4.7,62,2,2
2025-05-20T12:19:29,5.67,62,2,2
2025-05-20T12:19:30,6.69,61,2,2
2025-05-20T12:19:31,7.7,61,2,2
2025-05-20T12:19:32,8.67,61,2,2
2025-05-20T12:19:33,9.69,61,2,2
2025-05-20T12:19:34,10.7,61,2,2
2025-05-20T12:19:35,11.67,60,2,2
2025-05-20T12:19:36,12.69,60,2,2
2025-05-20T12:19:38,13.77,60,2,2
