timestamp,elapsed_time,HR,carga_cognitiva,ID_usuario
2025-06-03T15:01:29,0.4,77,0,5
2025-06-03T15:01:30,1.37,77,0,5
2025-06-03T15:01:31,2.32,77,0,5
2025-06-03T15:01:32,3.34,77,0,5
2025-06-03T15:01:33,4.36,78,0,5
2025-06-03T15:01:34,5.32,78,0,5
2025-06-03T15:01:35,6.34,78,0,5
2025-06-03T15:01:36,7.36,78,0,5
2025-06-03T15:01:37,8.32,78,0,5
2025-06-03T15:01:38,9.34,79,0,5
2025-06-03T15:01:39,10.43,79,0,5
2025-06-03T15:01:40,11.38,80,0,5
2025-06-03T15:01:41,12.41,81,0,5
2025-06-03T15:01:42,13.36,81,0,5
2025-06-03T15:01:43,14.38,82,0,5
2025-06-03T15:01:44,15.35,82,0,5
2025-06-03T15:01:45,16.36,83,0,5
2025-06-03T15:01:46,17.33,83,0,5
2025-06-03T15:01:47,18.34,83,0,5
2025-06-03T15:01:48,19.42,83,0,5
2025-06-03T15:01:49,20.32,83,0,5
2025-06-03T15:01:50,21.35,84,0,5
2025-06-03T15:01:51,22.37,85,0,5
2025-06-03T15:01:52,23.32,84,0,5
2025-06-03T15:01:53,24.34,83,0,5
2025-06-03T15:01:54,25.36,83,0,5
2025-06-03T15:01:55,26.32,82,0,5
2025-06-03T15:01:56,27.34,83,0,5
2025-06-03T15:01:57,28.37,84,0,5
2025-06-03T15:01:58,29.32,85,0,5
2025-06-03T15:01:59,30.34,86,0,5
2025-06-03T15:02:00,31.36,87,0,5
2025-06-03T15:02:01,32.33,87,0,5
2025-06-03T15:02:02,33.34,87,0,5
2025-06-03T15:02:03,34.37,86,0,5
2025-06-03T15:02:04,35.33,86,0,5
2025-06-03T15:02:05,36.41,86,0,5
2025-06-03T15:02:06,37.36,86,0,5
2025-06-03T15:02:07,38.45,85,0,5
2025-06-03T15:02:08,39.41,85,0,5
2025-06-03T15:02:09,40.49,85,0,5
2025-06-03T15:02:10,41.39,84,0,5
2025-06-03T15:02:11,42.35,83,0,5
2025-06-03T15:02:12,43.37,84,0,5
2025-06-03T15:02:13,44.33,84,0,5
2025-06-03T15:02:14,45.41,84,0,5
2025-06-03T15:02:15,46.37,84,0,5
2025-06-03T15:02:16,47.39,84,0,5
2025-06-03T15:02:17,48.35,84,0,5
2025-06-03T15:02:18,49.43,84,0,5
2025-06-03T15:02:19,50.33,83,0,5
2025-06-03T15:02:20,51.35,83,0,5
2025-06-03T15:02:21,52.37,83,0,5
2025-06-03T15:02:22,53.33,83,0,5
2025-06-03T15:02:23,54.35,83,0,5
2025-06-03T15:02:24,55.37,83,0,5
2025-06-03T15:02:25,56.33,82,0,5
2025-06-03T15:02:26,57.35,82,0,5
2025-06-03T15:02:27,58.37,82,0,5
2025-06-03T15:02:28,59.33,82,0,5
2025-06-03T15:02:29,60.35,82,0,5
2025-06-03T15:02:30,61.37,83,0,5
2025-06-03T15:02:31,62.33,83,0,5
2025-06-03T15:02:32,63.35,84,0,5
2025-06-03T15:02:33,64.43,85,0,5
2025-06-03T15:02:34,65.33,84,0,5
2025-06-03T15:02:35,66.35,83,0,5
2025-06-03T15:02:36,67.37,82,0,5
2025-06-03T15:02:37,68.33,81,0,5
2025-06-03T15:02:38,69.35,80,0,5
2025-06-03T15:02:39,70.37,79,0,5
2025-06-03T15:02:40,71.33,78,0,5
2025-06-03T15:02:41,72.47,77,0,5
2025-06-03T15:02:42,73.37,78,0,5
2025-06-03T15:02:43,74.39,78,0,5
2025-06-03T15:02:44,75.35,78,0,5
2025-06-03T15:02:45,76.37,79,0,5
2025-06-03T15:02:46,77.33,79,0,5
2025-06-03T15:02:47,78.41,79,0,5
2025-06-03T15:02:48,79.55,79,0,5
2025-06-03T15:02:49,80.39,79,0,5
2025-06-03T15:02:50,81.41,78,0,5
2025-06-03T15:02:51,82.37,78,0,5
2025-06-03T15:02:52,83.33,77,0,5
2025-06-03T15:02:53,84.35,76,0,5
2025-06-03T15:02:54,85.49,77,0,5
2025-06-03T15:02:55,86.33,77,0,5
2025-06-03T15:02:56,87.35,78,0,5
2025-06-03T15:02:57,88.43,78,0,5
2025-06-03T15:02:58,89.33,78,0,5
2025-06-03T15:02:59,90.41,78,0,5
2025-06-03T15:03:00,91.37,79,0,5
2025-06-03T15:03:01,92.45,80,0,5
2025-06-03T15:03:02,93.35,80,0,5
2025-06-03T15:03:03,94.43,80,0,5
2025-06-03T15:03:04,95.33,81,0,5
2025-06-03T15:03:05,96.35,81,0,5
2025-06-03T15:03:06,97.43,80,0,5
2025-06-03T15:03:07,98.33,80,0,5
2025-06-03T15:03:08,99.35,81,0,5
