timestamp,elapsed_time,HR,carga_cognitiva,ID_usuario
2025-06-03T15:12:18,0.9,76,0,6
2025-06-03T15:12:19,1.91,76,0,6
2025-06-03T15:12:20,2.87,76,0,6
2025-06-03T15:12:21,4.01,76,0,6
2025-06-03T15:12:22,4.91,76,0,6
2025-06-03T15:12:23,5.87,77,0,6
2025-06-03T15:12:24,6.9,77,0,6
2025-06-03T15:12:25,7.91,77,0,6
2025-06-03T15:12:26,8.87,78,0,6
2025-06-03T15:12:27,9.95,78,0,6
2025-06-03T15:12:28,10.91,79,0,6
2025-06-03T15:12:29,11.87,79,0,6
2025-06-03T15:12:30,12.89,80,0,6
2025-06-03T15:12:31,13.92,81,0,6
2025-06-03T15:12:32,14.87,83,0,6
2025-06-03T15:12:33,15.9,85,0,6
2025-06-03T15:12:34,16.91,86,0,6
2025-06-03T15:12:35,17.87,87,0,6
2025-06-03T15:12:36,18.9,87,0,6
2025-06-03T15:12:37,19.91,88,0,6
2025-06-03T15:12:38,20.93,88,0,6
2025-06-03T15:12:39,21.9,88,0,6
2025-06-03T15:12:40,22.91,88,0,6
2025-06-03T15:12:41,23.87,88,0,6
2025-06-03T15:12:42,24.95,88,0,6
2025-06-03T15:12:43,25.97,88,0,6
2025-06-03T15:12:44,26.93,87,0,6
2025-06-03T15:12:45,27.95,87,0,6
2025-06-03T15:12:46,28.91,87,0,6
2025-06-03T15:12:47,29.87,86,0,6
2025-06-03T15:12:48,30.9,86,0,6
2025-06-03T15:12:49,31.92,86,0,6
2025-06-03T15:12:50,32.87,86,0,6
2025-06-03T15:12:51,33.96,86,0,6
2025-06-03T15:12:52,34.92,86,0,6
2025-06-03T15:12:53,35.88,86,0,6
2025-06-03T15:12:54,36.9,86,0,6
2025-06-03T15:12:55,37.92,85,0,6
2025-06-03T15:12:56,38.88,85,0,6
2025-06-03T15:12:57,39.9,84,0,6
2025-06-03T15:12:58,40.92,83,0,6
2025-06-03T15:12:59,41.88,83,0,6
2025-06-03T15:13:00,42.9,82,0,6
2025-06-03T15:13:01,43.92,82,0,6
2025-06-03T15:13:02,44.88,81,0,6
2025-06-03T15:13:03,45.9,81,0,6
2025-06-03T15:13:04,46.92,81,0,6
2025-06-03T15:13:05,48.0,81,0,6
2025-06-03T15:13:06,48.96,81,0,6
2025-06-03T15:13:07,49.92,81,0,6
2025-06-03T15:13:08,50.88,81,0,6
2025-06-03T15:13:09,51.96,82,0,6
2025-06-03T15:13:10,52.92,82,0,6
2025-06-03T15:13:11,53.88,82,0,6
2025-06-03T15:13:12,54.9,83,0,6
2025-06-03T15:13:13,55.92,83,0,6
2025-06-03T15:13:14,56.88,83,0,6
2025-06-03T15:13:15,58.02,84,0,6
2025-06-03T15:13:16,58.92,84,0,6
2025-06-03T15:13:17,59.94,84,0,6
2025-06-03T15:13:18,60.9,85,0,6
2025-06-03T15:13:19,61.92,86,0,6
2025-06-03T15:13:20,63.0,86,0,6
2025-06-03T15:13:21,63.9,86,0,6
2025-06-03T15:13:22,64.98,87,0,6
2025-06-03T15:13:23,65.88,87,0,6
2025-06-03T15:13:24,66.9,87,0,6
2025-06-03T15:13:25,67.98,87,0,6
2025-06-03T15:13:26,68.88,87,0,6
2025-06-03T15:13:27,69.9,87,0,6
2025-06-03T15:13:28,70.98,87,0,6
2025-06-03T15:13:29,71.88,87,0,6
2025-06-03T15:13:30,73.02,87,0,6
