carga_cognitiva,HR_media,HR_min,HR_max,HR_std,HR_median,delta_HR_promedio
0,79.7388888888889,63,96,4.3540680650074775,79.0,-5.368545114631868e-15
1,83.98770491803279,78,92,3.8633889442807225,84.0,4.248816029143893
2,86.40127388535032,76,95,5.51671106103231,87.0,6.662384996461424
3,83.23076923076923,75,90,3.6988184557437784,84.0,3.491880341880336
4,80.88793103448276,72,87,3.8959768585245627,82.0,1.1490421455938644
5,77.60162601626017,72,86,2.8679684858866374,78.0,-2.1372628726287317
6,77.18274111675127,63,91,5.914967748716118,77.0,-2.556147772137625
